0,0,0.0000000000,1.5000000000,1.587e+00,5.169e+00,5.444e+00,7.327e+00,7.728e+00,8.403e+00,8.535e+00,9.541e+00,1.065e+01,1.130e+01,1.213e+01
0,102,0.0000009460,1.3930849132,1.549e+00,4.993e+00,6.706e+00,7.141e+00,8.248e+00,8.624e+00,9.574e+00,9.913e+00,1.125e+01,1.280e+01,1.311e+01
0,203,0.0000000000,1.1036925009,1.480e+00,4.568e+00,6.978e+00,7.309e+00,7.856e+00,8.552e+00,9.756e+00,1.147e+01,1.253e+01,1.375e+01,1.418e+01
0,304,0.0000000004,1.0951598831,1.940e+00,4.359e+00,6.355e+00,6.688e+00,7.352e+00,8.165e+00,9.701e+00,1.148e+01,1.296e+01,1.344e+01,1.690e+01
0,405,0.0000000021,1.0639193163,1.741e+00,3.889e+00,5.450e+00,6.506e+00,7.266e+00,8.780e+00,9.536e+00,1.146e+01,1.236e+01,1.359e+01,1.573e+01
0,506,0.0000000000,0.9546820582,1.585e+00,3.593e+00,4.823e+00,6.515e+00,7.318e+00,8.553e+00,9.856e+00,1.146e+01,1.167e+01,1.385e+01,1.492e+01
0,607,0.0000000004,0.8547976063,1.642e+00,3.187e+00,4.273e+00,6.242e+00,6.467e+00,7.697e+00,8.881e+00,9.938e+00,1.094e+01,1.348e+01,1.428e+01
0,708,0.0000054698,0.7656579633,1.870e+00,2.736e+00,3.619e+00,4.959e+00,5.800e+00,6.517e+00,7.652e+00,8.453e+00,1.095e+01,1.173e+01,1.425e+01
0,809,0.0000000000,0.6870019080,1.976e+00,2.316e+00,3.020e+00,4.400e+00,4.609e+00,5.589e+00,6.539e+00,7.372e+00,8.876e+00,9.826e+00,1.249e+01
0,910,0.0000000001,0.6328286824,1.844e+00,1.823e+00,2.512e+00,3.556e+00,3.673e+00,4.679e+00,5.287e+00,6.089e+00,7.447e+00,8.598e+00,1.006e+01
